2021-06-01 15:15:50.988 [NODEPAD] Application webapp created
2021-06-01 15:15:51.006 [NODEPAD] Strting application 'webapp'...
2021-06-01 17:15:51.323 +02:00: Starting application webapp (port: 3001)...
2021-06-01 17:15:54.767 +02:00: Request GET /
2021-06-01 17:15:55.683 +02:00: Request GET /
2021-06-01 17:15:56.053 +02:00: Request GET /
2021-06-01 17:15:56.282 +02:00: Request GET /
2021-06-01 17:18:43.385 +02:00: Request GET /
2021-06-03 19:27:40.872 [NODEPAD] Strting application 'webapp'...
2021-06-03 21:27:41.060 +02:00: Starting application webapp (port: 3001)...
2021-06-03 21:27:53.673 +02:00: Request GET /favicon.ico
2021-06-03 21:27:55.297 +02:00: Request GET /favicon.ico
2021-06-03 21:27:56.331 +02:00: Request GET /favicon.ico
2021-06-03 21:27:57.211 +02:00: Request GET /favicon.ico
2021-06-03 21:27:58.029 +02:00: Request GET /favicon.ico
2021-06-03 21:27:58.731 +02:00: Request GET /favicon.ico
2021-06-03 21:27:59.405 +02:00: Request GET /favicon.ico
2021-06-03 21:28:00.035 +02:00: Request GET /favicon.ico
2021-06-03 21:28:00.621 +02:00: Request GET /favicon.ico
2021-06-03 21:28:01.291 +02:00: Request GET /favicon.ico
2021-06-03 21:28:01.844 +02:00: Request GET /favicon.ico
2021-06-03 21:28:03.503 +02:00: Request GET /favicon.ico
2021-06-03 21:28:04.109 +02:00: Request GET /favicon.ico
2021-06-03 21:29:18.169 +02:00: Request GET /favicon.ico
2021-06-03 21:29:21.340 +02:00: Request GET /favicon.ico
2021-06-03 21:29:22.660 +02:00: Request GET /favicon.ico
2021-06-03 21:29:23.537 +02:00: Request GET /favicon.ico
2021-06-03 21:29:24.304 +02:00: Request GET /favicon.ico
2021-06-03 21:29:24.960 +02:00: Request GET /favicon.ico
2021-06-03 21:29:35.870 +02:00: Request GET /favicon.ico
2021-06-03 21:29:36.766 +02:00: Request GET /favicon.ico
2021-06-03 21:29:37.513 +02:00: Request GET /favicon.ico
2021-06-03 21:29:38.213 +02:00: Request GET /favicon.ico
2021-06-03 21:29:38.948 +02:00: Request GET /favicon.ico
2021-06-03 21:29:39.609 +02:00: Request GET /favicon.ico
2021-06-03 21:29:40.915 +02:00: Request GET /favicon.ico
2021-06-03 21:32:30.005 +02:00: Request GET /favicon.ico
